"No.","Time","Source","Destination","Protocol","Length","Info"
"201","2.057312000","10.10.11.107","224.0.0.251","MDNS","137","Standard query response 0x0000  AAAA, cache flush fe80::f68e:38ff:fe87:711d HINFO, cache flush X86_64 LINUX A, cache flush 10.10.11.107"
"202","2.063045000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"203","2.068715000","10.10.13.25","10.10.15.255","NBNS","92","Name query NB WPAD<00>"
"204","2.072247000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"205","2.075244000","10.10.14.31","224.0.0.251","MDNS","93","Standard query response 0x0000  HINFO, cache flush X86_64 LINUX"
"206","2.077195000","fe80::6e72:20ff:fee8:23ba","ff02::1","ICMPv6","78","Router Advertisement from 6c:72:20:e8:23:ba"
"207","2.081501000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"208","2.090403000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"209","2.099378000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"210","2.102168000","fe80::726d:ecff:fe02:f1","ff02::1:ff02:f1","ICMPv6","86","Multicast Listener Report"
"211","2.103243000","fe80::59c0:e176:7b5e:d87f","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"212","2.103584000","fe80::59c0:e176:7b5e:d87f","ff02::1:3","LLMNR","82","Standard query 0xb790  ANY R8"
"213","2.103797000","10.10.11.170","224.0.0.252","LLMNR","62","Standard query 0xb790  ANY R8"
"214","2.107121000","fe80::726d:ecff:fe02:1f1","ff02::1:ff02:1f1","ICMPv6","86","Multicast Listener Report"
"215","2.108731000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"216","2.117669000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"217","2.126617000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"218","2.128290000","0.0.0.0","255.255.255.255","DHCP","351","DHCP Request  - Transaction ID 0xa524c38"
"219","2.129240000","192.168.0.1","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0xa524c38"
"220","2.129452000","10.10.19.200","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0xa524c38"
"221","2.131965000","192.168.31.1","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0xa524c38"
"222","2.137265000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"223","2.146180000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"224","2.149018000","Dell_27:89:2c","Broadcast","ARP","60","Who has 169.254.32.224?  Tell 10.10.13.188"
"225","2.151479000","47.74.170.156","10.10.13.46","TCP","78","[TCP segment of a reassembled PDU]"
"226","2.152736000","10.10.10.91","224.0.0.251","MDNS","196","Standard query response 0x0000  PTR, cache flush priyanka-Inspiron-3542.local AAAA, cache flush fe80::70d0:ef48:a386:aded"
"227","2.155259000","fe80::70d0:ef48:a386:aded","ff02::fb","MDNS","216","Standard query response 0x0000  PTR, cache flush priyanka-Inspiron-3542.local AAAA, cache flush fe80::70d0:ef48:a386:aded"
"228","2.155797000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"229","2.165261000","fe80::ca1f:66ff:fe06:4fb6","ff02::1:ff06:4fb6","ICMPv6","86","Multicast Listener Report"
"230","2.172247000","fe80::56b8:2ff:fecf:a6ec","ff02::1:ffcf:a6ec","ICMPv6","86","Multicast Listener Report"
"231","2.174269000","Private_10:03:a9","Broadcast","ARP","60","Who has 10.10.10.0?  Tell 10.10.10.201"
"232","2.178590000","10.10.15.25","224.0.0.252","LLMNR","75","Standard query 0x0e21  AAAA WIN-JJVQTFUFFR8"
"233","2.195802000","fe80::118e:7e6a:109:995b","ff02::1:ff09:995b","ICMPv6","86","Multicast Listener Report"
"234","2.202301000","fe80::59c0:e176:7b5e:d87f","ff02::1:3","LLMNR","82","Standard query 0xb790  ANY R8"
"235","2.202319000","10.10.11.170","224.0.0.252","LLMNR","62","Standard query 0xb790  ANY R8"
"236","2.213765000","10.10.10.146","224.0.0.251","MDNS","93","Standard query response 0x0000  HINFO, cache flush X86_64 LINUX"
"237","2.220778000","fe80::1a0f:76ff:fe8d:4370","ff02::1","ICMPv6","78","Router Advertisement from 18:0f:76:8d:43:70"
"238","2.237400000","fe80::f68e:38ff:fe87:a636","ff02::1:ff87:a636","ICMPv6","86","Multicast Listener Report"
"239","2.237457000","10.10.15.34","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"240","2.244249000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"241","2.250589000","fe80::1262:ebff:fe11:18a5","ff02::1","ICMPv6","78","Router Advertisement from 10:62:eb:11:18:a5"
"242","2.252735000","fe80::59c0:e176:7b5e:d87f","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"243","2.254032000","fe80::a2ab:1bff:fee0:fa29","ff02::1","ICMPv6","78","Router Advertisement from a0:ab:1b:e0:fa:29"
"244","2.254823000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"245","2.264641000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"246","2.273970000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"247","2.283812000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"248","2.285039000","10.10.15.25","224.0.0.252","LLMNR","75","Standard query 0x0e21  AAAA WIN-JJVQTFUFFR8"
"249","2.292810000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"250","2.302788000","fe80::b2e2:35ff:fe59:78e7","ff02::1:ff88:fd5c","ICMPv6","86","Neighbor Solicitation for fe80::56b8:aff:fe88:fd5c from b0:e2:35:59:78:e7"
"251","2.304145000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"252","2.304964000","fe80::4566:e635:f397:4b75","ff02::1:ff97:4b75","ICMPv6","86","Multicast Listener Report"
"253","2.312547000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"254","2.322476000","10.10.16.163","255.255.255.255","ADwin Config","142","UDPMessage"
"255","2.323714000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"256","2.324924000","fe80::98e8:92a8:be2f:da88","ff02::1:ff2f:da88","ICMPv6","86","Multicast Listener Report"
"257","2.332162000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"258","2.340483000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"259","2.353328000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"260","2.361378000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"261","2.369429000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
